Акредитација,Шифра,Назив,Смерови,Семестри,Семестар,Фонд,Групе Пр,Групе В,Групе Пк,Ток,Предавања,Фонд предавања, ,Вежбе,Фонд вежбе,,Практикум,,Напомена,Бр. распоређ. студената 2021,,,,,
Основне академске студије 2022,РМ01,Програмирање 1,"1ИБЛФ1(15), АИ.22, МА.0.15, МЛ.0.15, МЛ.22, ММ.0.15, ММ.22, МП.0.15, МП.22, МР.0.15, МР.22, МС.0.15, МС.22",1,Јесењи семестар,2 + 3,4,8,0,1о1,Нина Радојичић Матић,2,1о1а,Милан Коцић,3,,,,,248,,,,,
,,,,,,2 + 3,4,8,0,1о2,Нина Радојичић Матић,2,1о1б,Милан Коцић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,1о3,Јована Ковачевић,2,1о2а,Огњен Милинковић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,1о4,Јована Ковачевић,2,1о2б,Огњен Милинковић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о3а,Милан Коцић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о3б,Андрија Урошевић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о4а,Никола Катић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о4б,Никола Катић,3,,,,,,,,,,
Основне академске студије 2022,РМ02,Програмирање 2,"МА.0.15, МЛ.0.15, МЛ.22, ММ.0.15, ММ.22, МП.0.15, МП.22, МР.0.15, МР.22, МС.0.15, МС.22",2,Пролећни семестар,2 + 3,4,8,0,1о1,Сана Стојановић Ђурђевић,2,1о1а,Владан Ковачевић,3,,,,,332,,,,,
,,,,,,2 + 3,4,8,0,1о2,Ивана Томашевић,2,1о1б,Владан Ковачевић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,1о3,Иван Чукић,2,1о2а,Владан Ковачевић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,1о4,Иван Чукић,2,1о2б,Андријана Алексић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о3а,Филип Видојевић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о3б,Вукан Антић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о4а,Филип Видојевић,3,,,,,,,,,,
,,,,,,2 + 3,4,8,0,,,2,1о4б,Дара Милојковић,3,,,,,,,,,,
Основне академске студије 2015,15-РМ03,Увод у организацију и архитектуру рачунара 1,"МА.15, МЛ.15, ММ.15, МП.15, МР.15, МС.15",3,Јесењи семестар,2 + 2,3,6,0,2мнв,Стефан Мишковић,2,2мнва,Ирена Васиљевић,2,,,,,133,,,,,
,,,,,,2 + 2,3,6,0,2рл1,Мирјана Маљковић,2,2мнвб,Ирена Васиљевић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,2рл2,Мирјана Маљковић,2,2рл1а,Невена Ћирић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл1б,Невена Ћирић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл2а,Невена Ћирић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл2б,Невена Ћирић,2,,,,,,,,,,
Основне академске студије 2015,РМ07,Веб програмирање,"1ИБАИ5(22), 1ИБМП2(22), ИПМЛ6(15), ИПМП2(15), ИПМС4(15), МЛ.22","4, 8",Пролећни семестар,2 + 2,1,1,0,2н4лв,Мирко Спасић,2,2н4лв-в,Дара Милојковић,2,,,,,29,,,,,
Основне академске студије 2015,РМ04,Објектно-оријентисано програмирање,"МА.15, МЛ.15, МЛ.22, ММ.15, ММ.22, МП.15, МП.22, МР.15, МР.22, МС.15, МС.22",4,Пролећни семестар,2 + 2,3,6,0,2мнв,Сташа Вујичић Станковић,2,2мнва,Бојана Јошић,2,,,,,160,,,,,
,,,,,,2 + 2,3,6,0,2рл1,Александар Картељ,2,2мнвб,Бојана Јошић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,2рл2,Александар Картељ,2,2рл1а,Бојана Јошић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл1б,Бојана Јошић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл2а,Невена Ћирић,2,,,,,,,,,,
,,,,,,2 + 2,3,6,0,,,2,2рл2б,Невена Ћирић,2,,,,,,,,,,
Основне академске студије 2015,РМ09,Конструкција и анализа алгоритама,"МР.15, МР.22",5,Јесењи семестар,3 + 2,1,3,0,3р,Весна Маринковић,3,3р1,Страхиња Станојевић,2,,,,,74,,,,,
,,,,,,3 + 2,1,3,0,,,3,3р2,Страхиња Станојевић,2,,,,,,,,,,
,,,,,,3 + 2,1,3,0,,,3,3р3,Страхиња Станојевић,2,,,,,,,,,,
Основне академске студије 2015,РМ10,Лексичка анализа и примене,"МР.15, МР.22",5,Јесењи семестар,2 + 2,1,2,0,3р,Филип Марић,2,3р12,Милица Карличић,2,,,,,90,,,,,
,,,,,,2 + 2,1,2,0,,,2,3р3,Милица Карличић,2,,,,,,,,,,
Основне академске студије 2015,М4.03,Образовни софтвер,"1ИБМЛ3(22), 1ИБММ1(22), 1ИБМП1(22), ИПМП3(15), МЛ.15","5, 7",Јесењи семестар,2 + 2,1,2,0,4л3н,Стефан Мишковић,2,4ла,Владимир Кузмановић,2,,,,,8,,,,,
,,,,,,2 + 2,1,2,0,,,2,4лб,Владимир Кузмановић,2,,,,,,,,,,
Основне академске студије 2015,РМ12,Програмске парадигме,"МР.15, МР.22",5,Јесењи семестар,2 + 2,1,2,0,3р,Милена Вујошевић Јаничић,2,3р12,Богдан Бадовинац,2,,,,,80,,,,,
,,,,,,2 + 2,1,2,0,,,2,3р3,Богдан Бадовинац,2,,,,,,,,,,
Основне академске студије 2015,РМ08,Дизајн програмских језика,"МР.15, МР.22",6,Пролећни семестар,2 + 2,1,2,0,3р,Мирко Спасић,2,3ра,Богдан Бадовинац,2,,,,,74,,,,,
,,,,,,2 + 2,1,2,0,,,2,3рб,Богдан Бадовинац,2,,,,,,,,,,
Основне академске студије 2015,РМ11,Компилација програмских језика,"МР.15, МР.22",6,Пролећни семестар,2 + 2,1,2,0,3р,Филип Марић,2,3ра,Милица Карличић,2,,,,,112,,,,,
,,,,,,2 + 2,1,2,0,,,2,3рб,Милица Карличић,2,,,,,,,,,,
Основне академске студије 2015,РМ15,Архитектура рачунара 1,"МР.15, МР.22",7,Јесењи семестар,2 + 2,1,2,0,4р,Милан Банковић,2,4р12,Јелена Марковић,2,,,,,91,,,,,
,,,,,,2 + 2,1,2,0,,,2,4р3,Јелена Марковић,2,,,,,,,,,,
Основне академске студије 2015,15-РМ05,Методика наставе рачунарства А,МЛ.15,7,Јесењи семестар,2 + 2,1,2,0,4л,Мирослав Марић,2,4ла,Дара Милојковић,2,,,,,18,,,,,
,,,,,,2 + 2,1,2,0,,,2,4лб,Дара Милојковић,2,,,,,,,,,,
Основне академске студије 2015,РМ14,Оперативни системи,"1ИБАИ3(22), ИПМА3(15), МР.15, МР.22",7,Јесењи семестар,2 + 2,1,2,0,4р,Мирослав Марић,2,4р12,Филип Видојевић,2,,,,,86,,,,,
,,,,,,2 + 2,1,2,0,,,2,4р3,Филип Видојевић,2,,,,,,,,,,
Основне академске студије 2015,РМ13,Увод у релационе базе података,"1ИБМП5(22), 1ИБМС2(22), ИПМА4(15), ИПММ3(15), ИПМП3(15), МЛ.22, МР.15, МР.22",7,Јесењи семестар,2 + 2,1,3,0,4мнр,Саша Малков,2,4р1,Милан Чугуровић,2,,,,,94,,,,,
,,,,,,2 + 2,1,3,0,,,2,4р2,Милан Чугуровић,2,,,,,,,,,,
,,,,,,2 + 2,1,3,0,,,2,4р3,Петар Тешић,2,,,,,,,,,,
Основне академске студије 2015,РМ18,Алгоритми и структуре података,ИПМР5(15),7,Јесењи семестар,3 + 2,1,1,0,4р,Сана Стојановић Ђурђевић,3,4р-в,Владан Ковачевић,2,,,,,1,,,,,
Основне академске студије 2015,15-РМ06,Методика наставе рачунарства Б,МЛ.15,8,Пролећни семестар,2 + 2,1,2,0,4л,Филип Марић,2,4ла,Милена Стојић,2,,,,,21,,,,,
,,,,,,2 + 2,1,2,0,,,2,4лб,Милена Стојић,2,,,,,,,,,,
Основне академске студије 2015,РМ16,Програмирање база података,"ИПМП6(15), МР.15, МР.22",8,Пролећни семестар,2 + 2,1,2,0,4рн,Нина Радојичић Матић,2,4ра,Борис Цвитак,2,,,,,80,,,,,
,,,,,,2 + 2,1,2,0,,,2,4рб,Борис Цвитак,2,,,,,,,,,,
Основне академске студије 2015,РМ17,Рачунарске мреже,"МР.15, МР.22",8,Пролећни семестар,2 + 2,1,2,0,4р,Александар Картељ,2,4ра,Вукан Антић,2,,,,,88,,,,,
,,,,,,2 + 2,1,2,0,,,2,4рб,Вукан Антић,2,,,,,,,,,,
Основне академске студије 2015,Р265,Увод у интерактивно доказивање теорема,"1ИБММ9(22), 1ИБМР(22), 1ИБМР3(22), ИПВ(17), ИПК(15), ИПК(17), ИПМР5(15), ИПР(15), ИПР(17)",8,Пролећни семестар,2 + 3,1,2,0,4ир,Филип Марић,2,4и1,Сана Стојановић Ђурђевић,3,,,,,65,,,,,
,,,,,,2 + 3,1,2,0,,,2,4и2,Андрија Урошевић,3,,,,,,,,,,
Основне академске студије 2015,П100,Програмирање 1,"1ИБАФ4(22), АИ.15, И.15, И.17",1,Јесењи семестар,3 + 3,2,6,0,1и1,Предраг Јаничић,3,1и1а,Марија Ерић,3,,,,,191,,,,,
,,,,,,3 + 3,2,6,0,1и2,Младен Николић,3,1и1б,Марија Ерић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и2а,Милан Чугуровић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и2б,Милан Коцић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и3а,Милена Стојић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и3б,Милена Стојић,3,,,,,,,,,,
Основне академске студије 2015,Р120,Увод у организацију и архитектуру рачунара 1,"АИ.15, АИ.22, И.15, И.17",1,Јесењи семестар,3 + 2,2,6,0,1и1,Стефан Мишковић,3,1и1а,Павле Савић,2,,,,,191,,,,,
,,,,,,3 + 2,2,6,0,1и2,Стефан Мишковић,3,1и1б,Павле Савић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и2а,Павле Савић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и2б,Дара Милојковић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и3а,Дара Милојковић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и3б,Дара Милојковић,2,,,,,,,,,,
Основне академске студије 2015,О45,Техничко и научно писање,"ИПО(15), ИПО(17)",1,Јесењи семестар,2 + 0,1,0,0,1и,Ивана Томашевић,2,,,0,,,,,39,,,,,
Основне академске студије 2015,П101,Програмирање 2,"1ИБАФ6(22), АИ.15, АИ.22, И.15, И.17",2,Пролећни семестар,3 + 3,2,6,0,1и1,Предраг Јаничић,3,1и1а,Милан Коцић,3,,,,,236,,,,,
,,,,,,3 + 3,2,6,0,1и2,Ивана Томашевић,3,1и1б,Петар Тешић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и2а,Милан Коцић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и2б,Андрија Урошевић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и3а,Милена Стојић,3,,,,,,,,,,
,,,,,,3 + 3,2,6,0,,,,1и3б,Милена Стојић,3,,,,,,,,,,
Основне академске студије 2015,Р220,Увод у организацију и архитектуру рачунара 2,"АИ.15, АИ.22, И.15, И.17",2,Пролећни семестар,3 + 2,2,6,0,1и1,Милан Банковић,3,1и1а,Огњен Милинковић,2,,,,,298,,,,,
,,,,,,3 + 2,2,6,0,1и2,Милан Банковић,3,1и1б,Огњен Милинковић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и2а,Огњен Милинковић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и2б,Огњен Милинковић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и3а,Павле Савић,2,,,,,,,,,,
,,,,,,3 + 2,2,6,0,,,,1и3б,Павле Савић,2,,,,,,,,,,
Основне академске студије 2015,О44,Зететика - критичко расуђивање,"ИПО(15), ИПО(17)",2,Пролећни семестар,2 + 0,1,0,0,1и,Сташа Вујичић Станковић,2,,,0,,,,,112,,,,,
Основне академске студије 2015,П103,Алгоритми и структуре података,"АИ.15, И.15, И.17",3,Јесењи семестар,3 + 3,2,4,0,2и1,Филип Марић,3,2и1а,Иван Дрецун,3,,,,,283,,,,,
,,,,,,3 + 3,2,4,0,2и2,Филип Марић,3,2и1б,Иван Дрецун,3,,,,,,,,,,
,,,,,,3 + 3,2,4,0,,,,2и2а,Иван Дрецун,3,,,,,,,,,,
,,,,,,3 + 3,2,4,0,,,,2и2б,Владан Ковачевић,3,,,,,,,,,,
Основне академске студије 2015,П102,Објектно-оријентисано програмирање,"1ИБАФ5(22), АИ.15, АИ.22, И.15, И.17",3,Јесењи семестар,3 + 2,2,4,0,2и1,Владимир Филиповић,3,2и1а,Вукан Антић,2,,,,,183,,,,,
,,,,,,3 + 2,2,4,0,2и2,Владимир Филиповић,3,2и1б,Бојана Јошић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2а,Владан Ковачевић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2б,Владан Ковачевић,2,,,,,,,,,,
Основне академске студије 2015,Р225,Оперативни системи,"АИ.15, И.15, И.17",3,Јесењи семестар,3 + 2,2,4,0,2и1,Мирослав Марић,3,2и1а,Владимир Кузмановић,2,,,,,317,,,,,
,,,,,,3 + 2,2,4,0,2и2,Мирослав Марић,3,2и1б,Филип Видојевић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2а,Филип Видојевић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2б,Филип Видојевић,2,,,,,,,,,,
Основне академске студије 2015,Р210,Конструкција и анализа алгоритама,"АИ.15, И.15, И.17",4,Пролећни семестар,3 + 2,2,4,0,2и1,Весна Маринковић,3,2и1а,Страхиња Станојевић,2,,,,,311,,,,,
,,,,,,3 + 2,2,4,0,2и2,Весна Маринковић,3,2и1б,Страхиња Станојевић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2а,Иван Дрецун,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2б,Иван Дрецун,2,,,,,,,,,,
Основне академске студије 2015,Р130,Увод у веб и интернет технологије,"1ИБМР(22), 1ИБМР3(22), АИ.15, И.15, И.17, ИПМР5(15)",4,Пролећни семестар,3 + 2,2,4,0,2и1,Владимир Филиповић,3,2и1а,Јелена Марковић,2,,,,,261,,,,,
,,,,,,3 + 2,2,4,0,2и2,Владимир Филиповић,3,2и1б,Милица Гњатовић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2а,Милица Гњатовић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,2и2б,Иван Поп-Јованов,2,,,,,,,,,,
Основне академске студије 2015,Р240,Превођење програмских језика,"И.15, И.17",5,Јесењи семестар,2 + 3,2,4,0,3и1,Милан Банковић,2,3и1а,Петар Тешић,3,,,,,240,,,,,
,,,,,,2 + 3,2,4,0,3и2,Милан Банковић,2,3и1б,Јелена Марковић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2а,Владимир Кузмановић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2б,Владимир Кузмановић,3,,,,,,,,,,
Основне академске студије 2015,Р255,Рачунарска графика,"1ИБМР(22), 1ИБМР3(22), АИ.15, И.15, И.17, ИПМР5(15)",5,Јесењи семестар,2 + 3,2,4,0,3и1,Весна Маринковић,2,3и1а,Марко Спасић,3,,,,,213,,,,,
,,,,,,2 + 3,2,4,0,3и2,Весна Маринковић,2,3и1б,Марко Спасић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2а,Марко Спасић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,3и2б,Марко Спасић,3,,,,,,,,,,
Основне академске студије 2015,Р270,Релационе базе података,"АИ.15, И.15, И.17",5,Јесењи семестар,3 + 2,2,4,0,3и1,Мирјана Маљковић,3,3и1а,Милена Стојић,2,,,,,269,,,,,
,,,,,,3 + 2,2,4,0,3и2,Ивана Томашевић,3,3и1б,Милена Стојић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2а,Милица Гњатовић,2,,,,,,,,,,
,,,,,,3 + 2,2,4,0,,,,3и2б,Милица Гњатовић,2,,,,,,,,,,
