,lecturer,class,groups,groups_to_check
0,35,9,{'0'},"{'0', '2', '1'}"
1,26,23,{'1'},"{'0', '1'}"
2,13,9,{'3'},"{'3', '5', '4'}"
3,26,23,{'2'},"{'0', '2'}"
4,21,9,{'6'},"{'6', '8', '7'}"
5,26,23,{'4'},"{'3', '4'}"
6,21,9,{'9'},"{'10', '11', '9'}"
7,31,23,{'5'},"{'3', '5'}"
8,6,23,{'7'},"{'6', '7'}"
9,46,23,{'8'},"{'6', '8'}"
10,6,23,{'10'},"{'10', '9'}"
11,11,23,{'11'},"{'11', '9'}"
12,0,90,"{'42', '15', '85'}","{'15', '16', '17', '44', '85', '42', '43'}"
13,11,136,"{'42', '15', '85'}","{'15', '16', '17', '44', '85', '42', '43'}"
14,41,54,"{'18', '15', '12'}","{'15', '20', '12', '18', '16', '14', '17', '19', '13'}"
15,44,13,"{'19', '16', '13'}","{'15', '12', '18', '16', '19', '13'}"
16,53,54,"{'21', '27'}","{'32', '21', '22', '23', '27', '28'}"
17,44,13,"{'17', '20', '14'}","{'15', '20', '12', '18', '14', '17'}"
18,53,54,"{'30', '24'}","{'25', '32', '31', '30', '26', '24'}"
19,44,13,"{'22', '28'}","{'21', '22', '27', '28'}"
20,44,13,"{'23', '29'}","{'21', '23', '29', '27'}"
21,23,13,"{'25', '31'}","{'25', '30', '31', '24'}"
22,23,13,"{'32', '26'}","{'32', '30', '26', '24'}"
23,0,124,{'33'},"{'38', '34', '35', '37', '36', '33'}"
24,2,104,{'37'},"{'37', '33'}"
25,2,104,{'38'},"{'33', '38'}"
26,36,10,{'33'},"{'38', '34', '35', '37', '36', '33'}"
27,29,11,{'37'},"{'37', '33'}"
28,29,11,{'38'},"{'33', '38'}"
29,36,81,{'42'},"{'42', '44', '43'}"
30,9,146,{'43'},"{'42', '43'}"
31,9,146,{'44'},"{'42', '44'}"
32,38,14,"{'48', '45'}","{'45', '46', '47', '53', '52', '49', '48', '51', '50'}"
33,19,22,{'52'},"{'48', '52'}"
34,19,22,{'53'},"{'48', '53'}"
35,53,44,{'48'},"{'53', '52', '49', '48', '51', '50'}"
36,46,70,{'52'},"{'48', '52'}"
37,46,70,{'53'},"{'48', '53'}"
38,36,119,"{'74', '48'}","{'48', '75', '74', '53', '76', '52', '49', '77', '51', '78', '50'}"
39,35,26,"{'75', '76'}","{'74', '75', '76'}"
40,17,26,"{'77', '78'}","{'74', '77', '78'}"
41,5,77,{'54'},"{'56', '55', '54', '57'}"
42,14,76,{'55'},"{'55', '54'}"
43,13,77,{'58'},"{'61', '59', '58', '60'}"
44,52,76,{'56'},"{'56', '54'}"
45,14,76,{'57'},"{'54', '57'}"
46,17,76,{'59'},"{'59', '58'}"
47,9,76,{'60'},"{'58', '60'}"
48,9,76,{'61'},"{'61', '58'}"
49,45,112,{'54'},"{'56', '55', '54', '57'}"
50,20,34,{'55'},"{'55', '54'}"
51,45,112,{'58'},"{'61', '59', '58', '60'}"
52,20,34,{'56'},"{'56', '54'}"
53,20,34,{'57'},"{'54', '57'}"
54,20,34,{'59'},"{'59', '58'}"
55,15,34,{'60'},"{'58', '60'}"
56,15,34,{'61'},"{'61', '58'}"
57,41,95,"{'54', '58'}","{'58', '56', '57', '60', '61', '59', '55', '54'}"
58,39,2,{'62'},"{'64', '62', '63'}"
