,room,time_slot
0,0,0
1,1,18
2,2,6
3,3,21
4,4,0
5,5,0
6,6,26
7,7,0
8,8,26
9,9,17
10,10,6
11,11,6
12,12,13
13,13,15
14,14,0
15,15,26
16,16,26
17,17,17
18,18,5
19,19,15
20,20,0
21,21,19
22,22,0
23,23,6
24,24,0
25,25,15
26,26,26
27,0,13
28,1,0
29,2,1
30,3,39
31,4,18
32,5,6
33,6,1
34,7,15
35,8,13
36,9,15
37,10,1
38,11,21
39,12,39
40,13,35
41,14,6
42,15,13
43,21,13
44,17,1
45,18,1
46,19,1
47,20,33
48,21,1
49,22,9
50,23,1
51,24,29
52,25,13
53,11,40
54,0,26
55,1,2
56,2,19
57,3,17
58,4,5
59,5,16
60,6,13
61,7,18
62,8,16
63,9,2
64,10,13
65,11,2
66,12,6
67,13,2
68,14,19
69,15,9
70,16,18
71,17,9
72,18,13
73,19,13
74,20,5
75,21,16
76,22,15
77,23,39
78,24,26
79,25,0
80,26,2
81,0,22
82,1,6
83,2,3
84,3,30
85,4,39
86,5,32
87,6,7
88,7,22
89,8,29
90,9,20
91,10,3
92,11,16
93,12,3
94,13,23
95,14,3
96,15,0
97,16,3
98,17,32
99,18,32
100,19,19
101,20,29
102,21,29
103,22,13
104,23,33
105,24,3
106,25,26
107,26,16
108,0,39
109,1,15
110,2,10
111,3,34
112,4,26
113,5,28
114,6,18
115,7,41
116,8,7
117,9,13
118,10,31
119,11,4
120,12,22
121,13,0
122,14,13
123,15,18
124,16,21
125,17,41
126,18,16
127,19,26
128,20,28
129,21,39
130,22,4
